id,status,receptor_1,receptor_10,receptor_2,receptor_3,receptor_4,receptor_5,receptor_6,receptor_7,receptor_8,receptor_9,xtal
CHEMBL135,1,-11.3425784628,-10.671864374,-10.8666052452,-11.9304035725,-11.4790221201,-11.9958557298,-11.3460733058,-11.8296858003,-10.9736429368,-11.3347475016,-10.9058322853
CHEMBL302870,1,-11.3069611764,-10.8992007398,-11.8940579528,-12.0711626851,-12.3035238367,-11.9418701613,-12.2740691442,-12.0735092293,-11.7617255618,-11.5780649411,-11.5845970611
CHEMBL202007,1,-11.2387598903,-11.4653442588,-11.3535131762,-11.849896532,-11.2872613489,-12.5793657359,-11.5259339868,-11.5401902231,-11.134782166,-12.0110157802,-11.1782729232
CHEMBL422045,1,-11.0830847908,-10.4739238391,-11.2060074404,-11.8876506237,-10.7540357641,-11.8231288845,-11.4135787145,-11.4363173436,-11.0973385457,-11.2014349336,-11.4330066577
CHEMBL166444,1,-10.779262392,-10.4304599287,-10.9630601048,-11.3679167957,-11.2658304076,-11.4248012459,-11.1283215065,-11.2958714184,-10.925025522,-10.289587121,-10.7183167513
ZINC64505973,0,-10.7754374793,-9.6920028379,-8.0207226448,-7.917802989,-8.4881672597,-8.1691922474,-7.8773997999,10000,-7.6642379551,-9.3987810728,10000
CHEMBL246341,1,-10.6814119885,-11.496506299,-11.0228343112,-12.1664233949,-10.869581759,-11.8398171953,-9.1346778724,-11.3101245707,-10.0879708177,-12.2275974688,-10.9147213005
ZINC09892513,0,-10.6236454809,-9.5343554381,-9.6279446514,-8.5262330833,-9.5058842301,-9.0675468015,-8.4614712146,10000,-10.2590904988,-9.6515933197,10000
CHEMBL393278,1,-10.6055488907,-11.1948626305,-11.115089044,-11.876967598,-10.5784129986,-11.4994310955,-9.5954151684,-10.9291399799,-10.712495507,-11.7467709147,-10.9916638375
ZINC63581784,0,-10.5867694443,-9.3286430084,-9.3450983743,10000,-10.2939618523,-8.616553319,-7.5556831667,10000,-9.6693294563,-9.7684829807,-6.9031185012
ZINC13224650,0,-10.5537411681,-10.0130180374,10000,10000,10000,10000,10000,10000,-10.0024162638,-9.2678791002,10000
ZINC67105316,0,-10.4415759189,-11.7360509708,-7.6846486148,10000,10000,10000,10000,10000,-8.8705663564,-7.3150812081,10000
ZINC01036081,0,-10.4248680308,-8.9355414797,-8.8494443365,-9.1823425566,-7.6507633095,10000,-7.644059453,-8.2167854658,-9.6916283787,-9.4160401282,10000
ZINC65035107,0,-10.4087388445,-10.3070081673,-8.56364608,10000,10000,10000,-6.3599809054,10000,-7.2499717449,10000,10000
CHEMBL237898,1,-10.3674196955,-9.8486013212,-10.1287401107,-9.5280662215,-10.1906207917,-10.263952983,-9.9130331834,-8.9235652886,-10.0238030156,-9.7778318314,-10.3637664312
CHEMBL237683,1,-10.3615120874,-10.0008951249,-10.0145338643,-10.6495768903,-10.4532431655,-10.1610477118,-9.4637008656,-8.6118641842,-10.3332038528,-9.32702886,-10.3108994912
ZINC08710575,0,-10.3174532791,-9.3811987647,-9.1532346377,-9.2172999381,-9.6420442849,-9.6110395468,-9.6764173004,-8.0415221834,-10.8680322454,-9.7479574183,-8.2870167714
CHEMBL249700,1,-10.2890129762,-10.422253691,-10.8063798561,-11.3695699307,-10.9182493023,-11.8211221699,-10.7482153962,-11.2662182773,-10.9920951664,-11.0878783036,-11.4310148075
CHEMBL184313,1,-10.2462288465,-10.2513010637,-8.9172817682,-10.1818686237,-9.6595821493,-9.6882374147,-10.3266056454,-9.7977250202,-10.371037855,-10.1918021909,-9.1225987089
ZINC12528494,0,-10.2249566564,-9.3236445936,-8.6389357168,-8.4260460693,-8.2665161477,-9.5698260262,-8.1306931864,-9.1487010232,-6.9018481661,-8.2488731477,-7.9222871864
CHEMBL395483,1,-10.2035749982,-9.9073956837,-10.5620051723,-10.9470114109,-10.4755592559,-11.2306557699,-10.0725532435,-10.8601554847,-10.4892143313,-10.4165685278,-10.0234002465
CHEMBL285602,1,-10.1852652551,-10.2408630663,-10.4503350616,10000,10000,10000,10000,-9.1152999089,10000,-10.2639689367,10000
ZINC45283941,0,-10.1711941895,-8.5114135555,-10.2050305596,-8.3736373631,-9.7385325517,-7.6696291699,-9.0811835888,-9.8978253578,-10.7741353477,-9.6210020891,10000
ZINC04731417,0,-10.1633014182,-10.3597856326,-6.7596580798,10000,10000,10000,10000,10000,-10.1442977492,-8.6544044924,10000
ZINC48225430,0,-10.1342488599,-9.1029231913,-6.2255566012,-7.6094755701,-8.7683050184,-8.8668134949,-7.3232061066,-5.1844196738,-8.821148624,-8.1101566724,-5.6244443777
ZINC13130057,0,-10.1174747318,-9.8054753994,-9.4151254806,-9.4442187158,-9.5148967881,-8.0351670235,-9.7201136314,-9.1046296762,-9.346072577,-9.8424274392,-7.1465383415
CHEMBL237900,1,-10.1087694753,-9.5624460075,-10.6363397091,-9.4922900525,-9.9301577098,-9.6778757543,-10.1524114645,-8.9882344226,-9.7062201755,-9.3716155915,-10.2390495333
CHEMBL382892,1,-10.1075014869,-10.3321665907,-9.8656401582,-11.0405812016,-9.8842328633,-9.5704189372,-9.4444441886,-10.5514329417,-10.384368588,-10.5152144973,-9.6808978228
ZINC25613382,0,-10.0906548757,-9.5153576845,-10.1874852161,-10.1867509634,-9.9008681361,-8.3443111936,-8.9238329713,-8.6706425122,-8.9260904084,-9.4787852211,-8.6913467884
ZINC47294573,0,-10.0822920715,-8.4739029143,-7.5035038965,-8.6400151402,-9.7476563829,-9.2921389746,-8.1270773848,-8.2228219695,-8.2755115132,-7.6573424041,-7.1293961308
ZINC21174219,0,-10.0786326924,-9.3981086538,-9.0111566493,10000,10000,10000,10000,10000,-9.9620205142,-8.9562038755,10000
CHEMBL445661,1,-10.073353762,-10.2540866764,-10.0584164231,-11.1192504423,-9.6443879898,-11.1281015201,-9.9470118198,-9.4354646058,-8.5642330124,-10.3009225143,-10.4975769381
ZINC40817817,0,-10.0529545868,-8.6012751102,-8.7162900546,-8.7586956536,-9.4684359413,-6.2187016946,-7.9835501608,-5.9195394785,-8.6518247455,-9.6318570622,10000
ZINC01283532,0,-10.0521709863,-9.1869185394,-9.9301253682,10000,10000,10000,10000,10000,-7.0975668305,-8.5951241549,10000
ZINC67048437,0,-10.0371069482,-9.4819588011,-9.4285904826,-9.6349555772,-8.888337086,-8.9373862689,-7.9247024427,-8.303059437,-8.9169322689,-8.4299413744,-7.6456347239
