id,status,receptor_10,receptor_9,receptor_8,receptor_11,receptor_3,receptor_2,receptor_1,receptor_7,receptor_6,receptor_5,receptor_4
CHEMBL422162,1,-8.2785774939,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
CHEMBL207106,1,-9.4860474224,-9.8802424032,-9.9192696705,-9.6086785986,-10.748354905,-9.6083534986,-9.5048139868,-10.0955927075,-9.1740403463,-10.2689224316,-9.8049699002
CHEMBL403061,1,-8.3528804733,-8.0167495078,-9.1860621153,-7.2765970611,-7.9755549759,-8.4106126527,-8.2260714536,-8.0000458476,-7.1849445577,-9.0315468036,-8.6633081314
CHEMBL446626,1,-9.2121252141,-9.66352406,-9.666353331,-8.4250932435,-9.4451605398,-10.0727999648,-9.6365671419,-9.2274890432,-9.2507161198,-9.402896806,-9.3790095301
CHEMBL74599,1,-9.3655115361,-10.071512957,-9.7108568807,-10.051680306,-10.2650481336,-9.9951813679,-9.4502469419,-10.3212787381,-10.2310799073,-10.9460731882,-9.755782949
CHEMBL255776,1,-8.7476100227,-8.7303025152,-9.471869212,-8.770028677,-9.4424308604,-9.1400425908,-8.8665218208,-9.4135173048,-8.4579869979,-9.4002518161,-9.2967500593
CHEMBL382892,1,-10.3321665907,-10.5152144973,-10.384368588,-9.6808978228,-11.0405812016,-9.8656401582,-10.1075014869,-10.5514329417,-9.4444441886,-9.5704189372,-9.8842328633
CHEMBL74606,1,-9.0990563632,-10.1324417974,-8.8439950481,10000,10000,10000,-8.4146907508,-10.3489283865,-7.5751262492,-9.5088025847,-8.443695455
CHEMBL157407,1,-9.3211548043,-9.4142545181,-9.2568012142,-8.4022598097,-9.6113961858,-9.1623281993,-9.3954352713,-8.8928900016,-8.4174883869,-9.1707825906,-9.4907011685
CHEMBL25802,1,-8.9184156686,-8.4362739335,-7.9962100132,-8.0486855338,-9.149429689,-8.941677704,-8.6735074039,-8.6278594646,-8.5242819642,-9.3965516413,-9.1254269747
CHEMBL296037,1,-8.0539166535,-9.0146405765,-9.3668343955,-7.9983433448,-8.8307344157,-9.399726303,-9.3380318257,-9.4496106359,-9.8217148136,-9.3378048746,-9.7048456936
CHEMBL27812,1,-8.5463569002,-8.7065905399,-9.1724502201,-9.7445636385,-8.9684196234,-10.0335766634,-8.7993861656,-8.5803690354,-8.4739605532,-10.1642146745,-10.2121658767
CHEMBL139749,1,-9.2584835076,-8.8257745567,-9.3104507375,-9.2423428315,-8.8802289158,-10.2737220357,-8.9083163909,-9.2011558538,-9.3454272989,-9.3112325003,-9.6662492436
CHEMBL281945,1,-9.2771876924,-9.0042361974,-9.4219692644,-9.3643445719,-8.6735819295,-9.7896940347,-8.4868336785,-9.0006390512,-8.525669235,-9.8233259711,-9.6940475306
CHEMBL308627,1,-8.5753734156,-9.0719720157,-9.0813912232,-8.5830322488,-9.0964789874,-9.168449598,-8.5200664167,-8.5348571771,-9.2482588972,-9.1432447466,-9.1430265564
CHEMBL77789,1,-7.9399629249,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
